clause_id;source_id;locator;statement;where_cited;status;evidence_level;source_locator
KZ-ARRFR-061::П. 5 постановления;KZ-ARRFR-061;П. 5 постановления;Постановление вводится в действие с 01.01.2026;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:59
KZ-ARRFR-061::Определение 4);KZ-ARRFR-061;Определение 4);Дефолт — просрочка более 90 календарных дней либо одна из перечисленных ситуаций: просрочка 90+ по другим займам в банке, то же в других банках, приостановление начисления вознаграждения, списание, продажа со значительным дисконтом, вынужденная реструктуризация, банкротство;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:60
KZ-ARRFR-061::Определение 5);KZ-ARRFR-061;Определение 5);Индивидуальный финансовый актив — валовая стоимость свыше 0,2 % собственного капитала, но не менее 50 млн ₸, либо требование к взаимосвязанной стороне;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:61
KZ-ARRFR-061::П. 10;KZ-ARRFR-061;П. 10;Значительное увеличение кредитного риска: просрочка более 30 календарных дней — и по индивидуальным, и по однородным активам. Плюс рост PD, пороги 5 %, 10 %, 20 %, 200 %;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:62
KZ-ARRFR-061::П. 15 абз. 1;KZ-ARRFR-061;П. 15 абз. 1;Переход из кредитно-обесцененных в SICR: погашение задолженности за период не менее 12 месяцев, снижение валовой балансовой стоимости до уровня на дату входа в дефолт, отсутствие на дату оценки событий обесценения;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:63
KZ-ARRFR-061::П. 15 пп. 1;KZ-ARRFR-061;П. 15 пп. 1;"Испытательный период с даты вынужденной реструктуризации, не менее 12 месяцев; 6 месяцев допускаются для физлиц на коллективной основе при наличии статистики о стабилизации выхода на просрочку начиная с седьмого платежа; по иным событиям п. 16 — с момента исключения события";dpd15_cure/FINDINGS_DPD15.md, dpd15_cure/STAT_SPEC.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:64
KZ-ARRFR-061::П. 15 пп. 2;KZ-ARRFR-061;П. 15 пп. 2;Условия, при которых стадия не меняется: значительная отсрочка платежей и другие;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:65
KZ-ARRFR-061::П. 15 пп. 3;KZ-ARRFR-061;П. 15 пп. 3;Сумма платежей после обесценения не менее размера ранее просроченной задолженности;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:66
KZ-ARRFR-061::П. 16 пп. 2;KZ-ARRFR-061;П. 16 пп. 2;Объективное подтверждение обесценения по индивидуальным активам: просрочка свыше 60 календарных дней, нецелевое использование свыше 25 %;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:67
KZ-ARRFR-061::П. 25;KZ-ARRFR-061;П. 25;Состав Методики расчёта провизий: пп. 2 признаки обесценения, пп. 7 критерии SICR при увеличении и (или) уменьшении, пп. 8 определение дефолта. Замыкающая фраза: «не допускается определение… неполных перечней»;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:68
KZ-ARRFR-061::П. 16 (о моделях);KZ-ARRFR-061;П. 16 (о моделях);"Глубина данных для рейтинговых моделей — не менее 3 лет; Джини, AUC, Kendall Tau; валидация не реже раза в 2 года независимым подразделением";dpd15_cure/STAT_SPEC.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:69
KZ-ARRFR-085::П. 5 постановления;KZ-ARRFR-085;П. 5 постановления;Основной текст действует с 16.05.2026: через десять календарных дней после официальной публикации 05.05.2026. Подпункты 7), 8) п. 98 и 6), 7) п. 104 вводятся с 01.01.2027;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:75
KZ-ARRFR-085::Определение к главе о лимитах;KZ-ARRFR-085;Определение к главе о лимитах;Неработающие займы — займы с признаками обесценения по МСФО и Правилам № 61. То есть НЗ = Stage 3, а не счётчик дней;dpd15_cure/FINDINGS_DPD15.md, npl_limits/;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:76
KZ-ARRFR-085::Показатель ЗП90;KZ-ARRFR-085;Показатель ЗП90;Займы с просроченной задолженностью свыше 90 дней — отдельный показатель, с оздоровлением не связан;dpd15_cure/FINDINGS_DPD15.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:77
KZ-ARRFR-085::Глава 11, п. 98 пп. 3;KZ-ARRFR-085;Глава 11, п. 98 пп. 3;Лимит отношения неработающих займов к ссудному портфелю;npl_limits/;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:78
KZ-ARRFR-085::Буферы капитала;KZ-ARRFR-085;Буферы капитала;"k1 8,0 %, k1-2 9,0 %, k2 10,5 % для не системно значимых; 9,5 / 10,5 / 12,0 % для системно значимых";risk_appetite/FINDINGS_RA.md Г12;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:79
KZ-ARRFR-085::Минимумы LCR и NSFR;KZ-ARRFR-085;Минимумы LCR и NSFR;0,9 до 31.12.2027, 1,0 с 01.01.2028;risk_appetite/FINDINGS_RA.md Г14;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:80
KZ-ARRFR-085::k3, k3-1;KZ-ARRFR-085;k3, k3-1;"Предел на одного заёмщика 25 %, на связанного 10 %; совокупный лимит по заёмщикам с риском свыше 10 % СК — не более пятикратного СК";risk_appetite/BENCHMARK.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:81
