source_id;source_kind;title;registry_group;status;version;official_url;analysis_refs;details;verified_clause_count;coverage_status;registry_locator;confidentiality
KZ-ARRFR-061;НПА РК;Правила № 61;1. Казахстан — подзаконные акты;действует;"первая редакция; действует с 01.01.2026; прочитано в оригинале 13.09.2026";https://adilet.zan.kz/rus/docs/V2500036994;;Реквизиты: Постановление Правления АРРФР от 29.09.2025 № 61 — создание провизий по МСФО и требованиям законодательства о бухучёте | Регистрация: Минюст № 36994 от 30.09.2025 | Заменил / заменён: заменило KZ-NBRK-269;11;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:99;public_or_licensed_reference
KZ-ARRFR-085;НПА РК;Нормативы № 85;1. Казахстан — подзаконные акты;действует;"в ред. постановления АРРФР от 03.08.2026 № 117, действует с 23.08.2026; отдельные положения — с 01.01.2027";https://adilet.zan.kz/rus/docs/V2600038587;;"Реквизиты: Постановление Правления АРРФР от 28.04.2026 № 85 — пруденциальные нормативы и лимиты для банков с универсальной, базовой лицензией и исламских банков | Регистрация: Минюст № 38587 от 29.04.2026; официально опубликовано в ЭКБ НПА РК 05.05.2026; действует с 16.05.2026 | Заменил / заменён: заменило KZ-NBRK-170; изменено KZ-ARRFR-117";7;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:100;public_or_licensed_reference
KZ-ARRFR-117;НПА РК;Изменения № 117;1. Казахстан — подзаконные акты;действует;"первая редакция; прочитано в оригинале 13.09.2026";https://adilet.zan.kz/rus/docs/V2600039525;;"Реквизиты: Постановление Правления АРРФР от 03.08.2026 № 117 — изменения и дополнение в Нормативы № 85 | Регистрация: Минюст № 39525 от 07.08.2026; официально опубликовано в ЭКБ НПА РК 12.08.2026; действует с 23.08.2026 | Заменил / заменён: изменяет KZ-ARRFR-085";2;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:101;public_or_licensed_reference
KZ-ARRFR-108;НПА РК;Требования № 108;1. Казахстан — подзаконные акты;действует;первая редакция;https://adilet.zan.kz/rus/docs/V2600039435;;Реквизиты: Постановление Правления АРРФР от 27.07.2026 № 108 — Требования к содержанию плана восстановления финансовой устойчивости банка, филиала банка-нерезидента РК, а также правила и сроки его представления в уполномоченный орган. Издано на основании ч. 2 п. 4 ст. 88 Закона о банках | Регистрация: Минюст № 39435 от 29.07.2026 | Заменил / заменён: —;2;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:102;public_or_licensed_reference
KZ-NBRK-240;НПА РК;Правила № 240;1. Казахстан — подзаконные акты;действует;в ред. постановления Правления НБ РК от 27.08.2022 № 65;https://adilet.zan.kz/rus/docs/V1900019925;;"Реквизиты: Постановление Правления НБ РК от 23.12.2019 № 240 — Правила отнесения финансовых организаций к числу системно значимых | Регистрация: Минюст № 19925 от 27.01.2020; введено в действие с 01.01.2020 | Заменил / заменён: заменило № 257 от 24.12.2014 (рег. № 10210) и № 32 от 28.01.2016 (рег. № 13304)";2;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:103;public_or_licensed_reference
KZ-NBRK-272;НПА РК;Правила № 272;1. Казахстан — подзаконные акты;действует;в ред. постановления Правления АРРФР от 20.04.2026 № 79, введена с 01.05.2026;https://adilet.zan.kz/rus/docs/V1800017789;;Реквизиты: Постановление Правления НБ РК от 29.10.2018 № 272 — Правила применения мер надзорного реагирования | Регистрация: Минюст № 17789 от 26.11.2018 | Заменил / заменён: —;2;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:104;public_or_licensed_reference
KZ-NBRK-188;НПА РК;Постановление № 188;1. Казахстан — подзаконные акты;отменено;—;https://adilet.zan.kz/rus/docs/V1900019632;;Реквизиты: Постановление Правления НБ РК от 12.11.2019 № 188 — Правила формирования системы управления рисками и внутреннего контроля для банков второго уровня, филиалов банков-нерезидентов РК | Регистрация: Минюст № 19632 от 21.11.2019 | Заменил / заменён: заменено KZ-ARRFR-086 (28.04.2026);0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:105;public_or_licensed_reference
KZ-NBRK-170;НПА РК;Постановление № 170;1. Казахстан — подзаконные акты;отменено;—;https://adilet.zan.kz/rus/docs/V1700015886;;Реквизиты: Постановление Правления НБ РК от 13.09.2017 № 170 | Регистрация: Минюст № 15886 от 12.10.2017 | Заменил / заменён: заменено KZ-ARRFR-085 (28.04.2026);0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:106;public_or_licensed_reference
KZ-NBRK-269;НПА РК;Постановление № 269;1. Казахстан — подзаконные акты;отменено;—;https://adilet.zan.kz/rus/docs/V1700016502;;Реквизиты: Постановление Правления НБ РК от 22.12.2017 № 269 | Регистрация: Минюст № 16502 от 05.03.2018 | Заменил / заменён: заменено KZ-ARRFR-061 (29.09.2025);0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:107;public_or_licensed_reference
KZ-ARRFR-086;НПА РК;Правила № 86;1. Казахстан — подзаконные акты;действует;—;https://adilet.zan.kz/rus/docs/V2600038586;;Реквизиты: Постановление Правления АРРФР от 28.04.2026 № 86 — Правила формирования системы управления рисками и внутреннего контроля для банков и филиалов банков-нерезидентов РК | Регистрация: Минюст № 38586 от 29.04.2026 | Заменил / заменён: —;10;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:108;public_or_licensed_reference
