column;column_title;code;meaning;used_in_segmentation
RESIDENCY;Признак резидентства;1;Резидент;
RESIDENCY;Признак резидентства;0;Нерезидент;
DEBTOR_TYPE;Тип субъекта;0;Физическое лицо;да
DEBTOR_TYPE;Тип субъекта;1;Юридическое лицо;да
ENT_TYPE;Категория субъекта предпринимательства;1;Крупный бизнес;да
ENT_TYPE;Категория субъекта предпринимательства;2;Средний бизнес;да
ENT_TYPE;Категория субъекта предпринимательства;3;Малый бизнес;да
DEBTOR_SE;Признак индивидуального предпринимателя;1;Да;да
DEBTOR_SE;Признак индивидуального предпринимателя;0;Нет;да
LSBOO;Признак связанности с Банком особыми отношениями;1;Да;да
LSBOO;Признак связанности с Банком особыми отношениями;0;Нет;
LOAN_TYPE;Вид займа, условного обязательства;1;Заем;
LOAN_TYPE;Вид займа, условного обязательства;2;Кредитная карта;
LOAN_TYPE;Вид займа, условного обязательства;3;Гарантия;
LOAN_TYPE;Вид займа, условного обязательства;4;Аккредитив;
LOAN_TYPE;Вид займа, условного обязательства;5;Финансовый лизинг;
LOAN_TYPE;Вид займа, условного обязательства;6;Факторинг;
LOAN_TYPE;Вид займа, условного обязательства;7;Форфейтинг;
LOAN_TYPE;Вид займа, условного обязательства;8;Вексель;
LOAN_TYPE;Вид займа, условного обязательства;9;Возможные обязательства по векселям;
LOAN_TYPE;Вид займа, условного обязательства;10;Условные требования по предоставленным займам;
F_INV;Флаг инвестиционного займа;1;Инвестиционный заем;да
F_INV;Флаг инвестиционного займа;0;Неинвестиционный заем;
LOAN_OBJ;Объект кредитования;1;Жилая недвижимость;да
LOAN_OBJ;Объект кредитования;2;Земля/земельный участок;да
LOAN_OBJ;Объект кредитования;3;Коммерческая недвижимость;да
LOAN_OBJ;Объект кредитования;4;Основные средства;
LOAN_OBJ;Объект кредитования;5;Оборотные средства;
LOAN_OBJ;Объект кредитования;6;Автомобильный транспорт;
LOAN_OBJ;Объект кредитования;7;Услуги для производственного процесса;
LOAN_OBJ;Объект кредитования;8;Потребительские товары и услуги;
LOAN_OBJ;Объект кредитования;9;Прочие услуги;
LOAN_OBJ;Объект кредитования;10;Ценные бумаги;
LOAN_OBJ;Объект кредитования;11;Прочее;
LOAN_PURP;Цель кредитования;1;Приобретение/покупка;да
LOAN_PURP;Цель кредитования;2;Ремонт;да
LOAN_PURP;Цель кредитования;3;Строительство;да
LOAN_PURP;Цель кредитования;4;Расширение / Реконструкция;да
LOAN_PURP;Цель кредитования;5;Долевое участие в жилищном строительстве;да
LOAN_PURP;Цель кредитования;6;Аренда;
LOAN_PURP;Цель кредитования;7;Производство;
LOAN_PURP;Цель кредитования;8;Рефинансирование;да
LOAN_PURP;Цель кредитования;9;Инвестирование;
LOAN_PURP;Цель кредитования;10;Финансовый лизинг;
LOAN_PURP;Цель кредитования;11;Прочее;
RATE_TYPE;Вид ставки вознаграждения;0;Фиксированная;
RATE_TYPE;Вид ставки вознаграждения;1;Плавающая;
COLLATERAL;Флаг наличия залогового обеспечения;1;Залоговый;да
COLLATERAL;Флаг наличия залогового обеспечения;0;Беззалоговый;да
IND_SIGN;Индивидуальный финансовый актив;1;Индивидуально значимый актив;
IND_SIGN;Индивидуальный финансовый актив;0;Однородный актив;
STAGE_B;Стадия обесценения в соответствии с МСФО;1;Стадия обесценения 1;да
STAGE_B;Стадия обесценения в соответствии с МСФО;2;Стадия обесценения 2;да
STAGE_B;Стадия обесценения в соответствии с МСФО;3;Стадия обесценения 3;да
STAGE_B;Стадия обесценения в соответствии с МСФО;4;Приобретенные или созданные кредитно-обесцененные финансовые активы (POCI);да
CL_TYPE;Тип кредитной линии;1;Возобновляемая отзывная кредитная линия;
CL_TYPE;Тип кредитной линии;2;Невозобновляемая отзывная кредитная линия;
CL_TYPE;Тип кредитной линии;3;Возобновляемая безотзывная кредитная линия;
CL_TYPE;Тип кредитной линии;4;Невозобновляемая безотзывная кредитная линия;
