column;scope;data_type;max_len;group;used_by_script;confidence;meaning
n_o;B1A+B1B;nvarchar;600;служебные;;очевидно;номер строки выгрузки
entity;B1A+B1B;nvarchar;600;принадлежность;да;проверено;"балансовая единица; 'EUB1' = баланс ОУСА"
iin_bin;B1A+B1B;nvarchar;600;PII;да;очевидно;ИИН/БИН заёмщика — агрегирование и join с B2A
residency;B1A+B1B;nvarchar;13;заёмщик;;очевидно;резидентство
debtor_type;B1A+B1B;nvarchar;1;заёмщик;да;проверено;тип заёмщика: 0 — физлицо, 1 — юрлицо
ent_type;B1A+B1B;nvarchar;27;заёмщик;да;гипотеза Г2;размер бизнеса: 1 крупное, 2 среднее, 3 малое
oked;B1A+B1B;nvarchar;10;заёмщик;;очевидно;код ОКЭД — вид экономической деятельности
debtor_se;B1A+B1B;nvarchar;300;заёмщик;да;гипотеза Г1;признак субъекта предпринимательства (ИП)
lsboo;B1A+B1B;nvarchar;13;заёмщик;да;проверено;признак лица, связанного с банком особыми отношениями
loan_id;только B1A;nvarchar;300;ключи;;очевидно;идентификаторы займа и кредитной линии
loan_id_kr;B1A+B1B;nvarchar;300;ключи;да;проверено;ключ соединения сегментации с расчётом метрик
id;B1A+B1B;nvarchar;600;ключи;;очевидно;идентификаторы займа и кредитной линии
credit_line_id;B1A+B1B;nvarchar;1200/300;ключи;;очевидно;идентификаторы займа и кредитной линии
loan_type;B1A+B1B;nvarchar;221;договор;;очевидно;тип займа
f_inv;B1A+B1B;nvarchar;600;договор;да;проверено;флаг инвестиционного займа
ccf_cat;B1A+B1B;nvarchar;600;метрики;;гипотеза Г7;категория CCF
ccf;B1A+B1B;nvarchar;600;метрики;да;проверено;коэффициент кредитной конверсии
curr;B1A+B1B;nvarchar;300;договор;;очевидно;валюта договора
loan_start_date;B1A+B1B;nvarchar;600;договор;;очевидно;даты выдачи и погашения
loan_end_date;B1A+B1B;nvarchar;600;договор;;очевидно;даты выдачи и погашения
loan_obj;B1A+B1B;nvarchar;109;договор;да;документ;объект кредитования (код)
loan_purp;B1A+B1B;nvarchar;125;договор;да;документ;цель кредитования (код)
rate_type;только B1A;nvarchar;13;договор;;очевидно;тип и величина номинальной ставки
nom_rate_in;только B1A;nvarchar;600;договор;;очевидно;тип и величина номинальной ставки
nom_rate;только B1A;nvarchar;600;договор;;очевидно;тип и величина номинальной ставки
pesv;только B1A;nvarchar;600;договор;;гипотеза Г5;эффективная ставка вознаграждения
gesv;только B1A;nvarchar;600;договор;;гипотеза Г5;эффективная ставка вознаграждения
collateral;B1A+B1B;nvarchar;600;обеспечение;да;проверено;признак наличия залога (вид не различается)
loan_amount;только B1A;nvarchar;600;суммы;;очевидно;сумма займа по договору
od;только B1A;nvarchar;600;суммы;да;проверено;основной долг: текущий и просроченный
od_del;только B1A;nvarchar;600;суммы;да;проверено;основной долг: текущий и просроченный
interest;только B1A;nvarchar;600;суммы;да;проверено;вознаграждение: начисленное и просроченное
interest_del;только B1A;nvarchar;600;суммы;да;проверено;вознаграждение: начисленное и просроченное
wo;только B1A;nvarchar;600;суммы;;гипотеза Г6;списание и его дата
correction;B1A+B1B;nvarchar;600;суммы;да;документ;корректировка
disc_prem;B1A+B1B;nvarchar;600;суммы;да;документ;дисконты и премии
penalty;B1A+B1B;nvarchar;600;суммы;да;документ;пени и штрафы — в определение задолженности не входят
offbal;B1A+B1B;nvarchar;600;суммы;да;проверено;внебалансовые обязательства
od_del_date;только B1A;nvarchar;600;просрочка;;очевидно;даты выхода на просрочку
interest_del_date;только B1A;nvarchar;600;просрочка;;очевидно;даты выхода на просрочку
dpd;только B1A;nvarchar;600;просрочка;;очевидно;дней просрочки
wo_date;только B1A;nvarchar;600;суммы;;гипотеза Г6;списание и его дата
grace_od_date;только B1A;nvarchar;600;просрочка;;гипотеза Г13;льготный период
grace_int_date;только B1A;nvarchar;600;просрочка;;гипотеза Г13;льготный период
grace_principal;только B1A;nvarchar;600;просрочка;;гипотеза Г13;льготный период
grace_pay;только B1A;nvarchar;600;просрочка;;гипотеза Г13;льготный период
ptp;B1A+B1B;nvarchar;600;суммы;;неизвестно;назначение не установлено
restr_count;B1A+B1B;nvarchar;600;просрочка;;гипотеза Г14;реструктуризации: количество, признак, дата
restr_d;B1A+B1B;nvarchar;600;просрочка;;гипотеза Г14;реструктуризации: количество, признак, дата
restr_date;B1A+B1B;nvarchar;500;просрочка;;гипотеза Г14;реструктуризации: количество, признак, дата
