# Месячная форма стресс-тестирования кредитного риска (Приложение № 2 к Методике, лист 5.1).
# as_of — отчётная дата по имени файла. Внимание: в файлах на 01.06 и 01.07.2026 ячейка даты
# внутри формы не обновлена и содержит 01.05.2026 (см. МС6).
# formula_base: prev_scenario — логарифм берётся к предыдущему сценарию (дефект Г25);
#               fact — к факту (исправлено с отчёта на 01.06.2026).
# R_vs_fact — пересчёт по корректной базе. Суммы в млн тенге.
as_of,scenario,formula_base,portfolio_amt,provisions_amt,lgd,R_reported,R_vs_fact,understate_ratio,share_reported_pct,share_vs_fact_pct
2026-01-01,1,prev_scenario,1592103,128299,0.3371,50212,50212,1.00,11.21,11.21
2026-01-01,2,prev_scenario,1592103,128299,0.3466,45230,96845,2.14,10.90,14.14
2026-01-01,3,prev_scenario,1592103,128299,0.3560,117754,217233,1.84,15.45,21.70
2026-02-01,1,prev_scenario,1568670,132494,0.3343,49656,49656,1.00,11.61,11.61
2026-02-01,2,prev_scenario,1568670,132494,0.3440,44637,95733,2.14,11.29,14.55
2026-02-01,3,prev_scenario,1568670,132494,0.3537,117045,215475,1.84,15.91,22.18
2026-03-01,1,prev_scenario,1569227,136579,0.3366,50146,50146,1.00,11.90,11.90
2026-03-01,2,prev_scenario,1569227,136579,0.3463,44972,96555,2.15,11.57,14.86
2026-03-01,3,prev_scenario,1569227,136579,0.3559,118332,217575,1.84,16.24,22.57
2026-04-01,1,prev_scenario,1601106,136579,0.3357,50922,50922,1.00,11.71,11.71
2026-04-01,2,prev_scenario,1601106,136579,0.3455,45957,98358,2.14,11.40,14.67
2026-04-01,3,prev_scenario,1601106,136579,0.3552,120322,221455,1.84,16.05,22.36
2026-05-01,1,prev_scenario,1604641,135825,0.3388,51594,51594,1.00,11.68,11.68
2026-05-01,2,prev_scenario,1604641,135825,0.3485,46940,100014,2.13,11.39,14.70
2026-05-01,3,prev_scenario,1604641,135825,0.3582,121327,224130,1.85,16.03,22.43
2026-06-01,1,fact,1641194,125882,0.3479,52283,52283,1.00,10.86,10.86
2026-06-01,2,fact,1641194,125882,0.3618,102651,102651,1.00,13.92,13.92
2026-06-01,3,fact,1641194,125882,0.3894,240244,240244,1.00,22.31,22.31
2026-07-01,1,fact,1606741,119832,0.3451,50301,50301,1.00,10.59,10.59
2026-07-01,2,fact,1606741,119832,0.3593,98894,98894,1.00,13.61,13.61
2026-07-01,3,fact,1606741,119832,0.3870,231703,231703,1.00,21.88,21.88
