# Источник: Отчёт об уровнях риск-аппетита (форма № 50 Приложения № 2 к Инструкции по формированию
# управленческой и финансовой отчётности), лист «Выводы» (форма 50-5), отчётная дата 01.07.2026.
# Значения в процентах. Знак «-» перед CoR — отрицательная стоимость риска (чистый роспуск провизий).
metric,segment,limit_pct,Q2_2024,Q3_2024,Q4_2024,Q1_2025,Q2_2025,Q3_2025,Q4_2025,Q1_2026,Q2_2026
top20_to_equity,KB,95.0,73.7390,74.1839,69.5187,74.0684,76.7365,77.0724,75.6193,92.6568,101.5041
cor,KB_PB,3.0,-2.0902,-1.9643,-1.7727,0.0100,-1.2848,-0.9224,-1.0000,-0.3600,-0.3458
cor,MSB,3.5,-0.8479,-0.3506,-0.6975,-0.6975,-2.0633,-1.5076,-0.9800,0.2000,0.2649
el_total,RB,9.0,3.8605,3.5090,3.0237,2.8963,2.8158,2.6901,2.6150,2.7130,2.7576
el_unsecured,RB,10.0,7.9090,7.4644,7.2344,7.0960,7.0608,7.0637,7.0313,7.0114,7.5666
el_secured,RB,7.0,1.5675,1.4088,1.3441,1.3643,1.3772,1.3608,1.4275,1.5899,1.6360
el_other,RB,10.0,3.2386,2.8286,2.6999,2.6177,2.5108,2.5475,2.4556,2.2893,2.4718
pd_unsecured,RB,15.0,12.1297,12.0149,11.7854,11.5538,11.4859,11.4913,11.2275,11.0418,10.9612
pd_unsecured_cash,RB,15.0,12.2730,12.1698,11.9620,11.7089,11.6787,11.7170,11.3418,11.1281,11.0461
pd_unsecured_goods,RB,15.0,11.5958,11.4065,11.0036,10.8888,10.5721,10.3809,10.6010,10.6296,10.5865
pd_secured,RB,7.0,5.3105,5.2189,5.0309,5.0827,5.1339,5.1477,5.0871,5.0976,5.0150
pd_other,RB,14.0,4.8964,4.5923,4.4563,4.3212,4.1906,4.2695,4.0896,3.7785,3.6550
var_to_equity,MARKET,1.0,,,0.5176,0.3500,0.3315,0.2806,0.2542,0.3718,0.5457
k1,CAPITAL,8.5,,,20.1000,20.0000,20.1000,20.1000,19.0000,19.2000,19.9000
k1_2,CAPITAL,9.5,,,20.1000,20.0000,20.1000,20.1000,19.0000,19.2000,19.9000
k2,CAPITAL,11.0,,,27.7000,27.8000,27.6200,27.6000,24.9000,22.1000,22.9000
acari,CAPITAL,13.0,,,22.6333,22.6000,22.6067,22.6000,20.9667,20.1667,20.9000
hla,LIQUIDITY,20.0,,,43.2014,39.0001,38.1313,36.7902,38.6850,36.4701,39.3969
lcr,LIQUIDITY,105.0,,,197.7050,178.9953,175.5000,202.5756,160.5461,142.3751,231.1065
nsfr,LIQUIDITY,105.0,,,159.7040,149.1046,151.0000,152.2788,143.1716,113.1082,123.8705
alri,LIQUIDITY,85.0,,,133.5368,122.3666,121.5438,130.5482,114.1342,97.3178,131.4580
oprisk_loss_mln,OPERATIONAL,2000.0,,,2.0415,0.2945,39.4000,0.4853,0.0210,2.2837,0.4853
compliance_loss_mln,COMPLIANCE,60.0,,,0.7380,0.0000,0.0000,0.0000,0.0000,1.2000,0.0000
