metric;name;segment;limit;fact;product;mapped;green;pct_of_limit;headroom
pd_unsecured;PD — необеспеченные;RB;15.0;10.961171;потребительский;True;14.3037;95.36;3.3425
pd_unsecured_cash;PD — необеспеченные, наличные;RB;15.0;11.046123;потребительский;True;14.3037;95.36;3.2575
pd_unsecured_goods;PD — необеспеченные, товарные;RB;15.0;10.586523;потребительский;True;14.3037;95.36;3.7171
pd_secured;PD — обеспеченные;RB;7.0;5.014115;потребительский;False;6.675;95.36;1.6609
pd_secured;PD — обеспеченные;RB;7.0;5.014115;автокредитование;False;5.3977;77.11;0.3836
pd_secured;PD — обеспеченные;RB;7.0;5.014115;ипотека;False;5.4338;77.63;0.4197
pd_other;PD — прочие;RB;14.0;3.654987;потребительский;False;13.3501;95.36;9.6951
pd_other;PD — прочие;RB;14.0;3.654987;автокредитование;False;10.7955;77.11;7.1405
pd_other;PD — прочие;RB;14.0;3.654987;ипотека;False;10.8676;77.63;7.2126
top20_to_equity;Топ-20 / СК;KB;95.0;101.5041;обратный стресс;False;;;-6.8464
top20_to_equity;Топ-20 / СК;KB;108.6304;101.5041;обратный стресс;False;;;6.5602
