metric;name;method;limit;green_yellow;yellow_red;fact;zone;n_green;n_yellow;n_red;n_breach
top20;Топ-20 / СК;MT;108.6304;98.2069;103.4187;101.5041;жёлтая;30;5;1;0
cor_kb_pb;CoR KB/PB;empirical;3.0;1.2246;2.1651;-0.2674;зелёная;34;1;1;0
cor_msb;CoR MSB;MT;3.5;1.8023;2.6511;0.2667;зелёная;36;0;0;0
el_total;EL — всего;MT;9.0;8.7946;8.8973;2.7573;зелёная;36;0;0;0
el_unsecured;EL — необеспеченные;MT;10.0;9.6755;9.8378;7.5667;зелёная;36;0;0;0
el_secured;EL — обеспеченные;MT;7.0;6.8677;6.9339;1.6359;зелёная;36;0;0;0
el_other;EL — прочие;MT;10.0;9.7814;9.8907;2.4718;зелёная;36;0;0;0
pd_unsecured;PD — необеспеченные;MT;15.0;14.6836;14.8418;10.9612;зелёная;36;0;0;0
pd_unsecured_cash;PD — необеспеченные, наличные;MT;15.0;14.629;14.8145;11.0461;зелёная;36;0;0;0
pd_unsecured_goods;PD — необеспеченные, товарные;MT;15.0;14.7413;14.8707;10.5865;зелёная;36;0;0;0
pd_secured;PD — обеспеченные;MT;7.0;6.744;6.872;5.0141;зелёная;36;0;0;0
pd_other;PD — прочие;MT;14.0;13.7334;13.8667;3.655;зелёная;36;0;0;0
