# Реестр метрик витрины риска. Полочка (shelf) = нормативный документ.
# direction: up_bad — лимит сверху (плохо расти); down_bad — лимит снизу (плохо падать); grow_bad — триггер на рост ряда
# counter: single — разовое событие; 6M_consec — 6 последовательных месяцев; 3of6M — 3+ раза за 6 мес; 2of6M; 7M_monotonic — строгий рост 7 точек; 2Q_consec
# data_freq / monitor_freq: D W M Q Y (данные / контроль). Правило: monitor_freq не реже data_freq
# verified: yes — значение сверено с текстом документа в ходе работы; no — требует сверки перед использованием
shelf;code;name;formula;unit;direction;limit;signal;condition;counter;data_freq;monitor_freq;contour;owner;source;consequence;verified
N85CH11;98-1;Рост займов с просрочкой свыше 90 дней;ЗП90 по месяцам;млн ₸;grow_bad;;;;7M_monotonic;M;M;оперативный;БРМ;№ 85 п. 107 пп. 1;PLAN-98;yes
N85CH11;98-2;Рост займов с просрочкой 61-90 дней;ЗП61-90 по месяцам;млн ₸;grow_bad;;;;7M_monotonic;M;M;оперативный;БРМ;№ 85 п. 107 пп. 2;PLAN-98;yes
N85CH11;98-3;Неработающие займы к ссудному портфелю;НЗ / СП (gross);%;up_bad;10;8;;single;M;M;оперативный;БРМ;№ 85 п. 107 пп. 3;PLAN-98;yes
N85CH11;98-4;Доля неработающей дебиторской задолженности;КДЗ / ДЗ;%;up_bad;50;40;;6M_consec;M;M;управленческий;ДБУиО;№ 85 п. 107 пп. 4;PLAN-98;yes
N85CH11;98-5;Рентабельность активов (ROA);НЧП / Аср;%;down_bad;0,2;0,3;применяется при k1 <= 10 % или k2 <= 13 %;2of6M;M;M;управленческий;ФД;№ 85 п. 107 пп. 5;PLAN-98;yes
N85CH11;98-6;Среднемесячные РЕПО к обязательствам;ПР / ОБ;%;up_bad;25;20;с 01.07.2026 (до этого 35 %);single;M;M;оперативный;Казначейство;№ 85 п. 107 пп. 6;PLAN-98;yes
N85CH11;98-7;Потребзаймы 90+ в сумме потребзаймов;НПЛпз / Спз;%;up_bad;10;8;;single;M;M;оперативный;БРМ;№ 85 п. 107 пп. 7;PLAN-98;yes
N85CH11;98-8;Заёмщики с потреб-90+ в числе потребзаёмщиков;КЗнпз / КЗобщ;%;up_bad;10;8;;single;M;M;оперативный;БРМ;№ 85 п. 107 пп. 8;PLAN-98;yes
N85PRUD;k1;Достаточность основного капитала;основной капитал / RWA;%;down_bad;8,0;9,0;+ буферы · для системно значимых 9,5 %;single;M;M;управленческий;ДБУиО;№ 85 гл. 3;SUP-MEAS;yes
N85PRUD;k1-2;Достаточность капитала первого уровня;капитал 1 уровня / RWA;%;down_bad;9,0;10,0;+ буферы · для системно значимых 10,5 %;single;M;M;управленческий;ДБУиО;№ 85 гл. 3;SUP-MEAS;yes
